"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/19/2023","VOLUME","              54","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/19/2023","TIME","           37:13","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/20/2023","VOLUME","            54.1","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/20/2023","TIME","           37:17","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/21/2023","VOLUME","            54.1","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/21/2023","TIME","           37:17","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/22/2023","VOLUME","            54.2","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/22/2023","TIME","           37:21","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/23/2023","VOLUME","            54.3","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/23/2023","TIME","           37:25","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/24/2023","VOLUME","            54.4","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/24/2023","TIME","           37:29","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/25/2023","VOLUME","            54.5","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/25/2023","TIME","           37:33","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/26/2023","VOLUME","            54.6","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/26/2023","TIME","           37:37","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/27/2023","VOLUME","            54.7","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/27/2023","TIME","           37:41","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/28/2023","VOLUME","            54.7","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/28/2023","TIME","           37:41","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/29/2023","VOLUME","            54.8","KGL","             0.1","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/29/2023","TIME","           37:45","","           00:04","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/30/2023","VOLUME","            54.8","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1A","","Date","Type"," ","Counter"," ","Quantity",,"4/30/2023","TIME","           37:45","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/15/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/15/2023","TIME","           92:30","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/16/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/16/2023","TIME","           92:46","","           00:16","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/17/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/17/2023","TIME","           93:04","","           00:17","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/18/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/18/2023","TIME","           93:21","","           00:17","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/19/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/19/2023","TIME","           93:45","","           00:24","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/20/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/20/2023","TIME","           94:06","","           00:20","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/21/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/21/2023","TIME","           94:06","","           00:00","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/22/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/22/2023","TIME","           94:14","","           00:07","","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/23/2023","VOLUME","           142.6","KGL","               0","KGL","1","Of","1"
"ICC - IRRInet Control Center","MEAC","4/30/2023","Accumulation Status Report","Valve/Group:","BV1B","","Date","Type"," ","Counter"," ","Quantity",,"4/23/2023","TIME","           94:28","","           00:14","","1","Of","1"
